dataHoraCotacao,valor_cotacao,timestamp_processamento
2017-04-23,3.1447,2026-04-11T15:11:55.728Z
2017-04-24,3.1245,2026-04-11T15:11:55.728Z
2017-04-25,3.1571,2026-04-11T15:11:55.728Z
2017-04-26,3.1841,2026-04-11T15:11:55.728Z
2017-04-27,3.1757,2026-04-11T15:11:55.728Z
2017-04-28,3.1978,2026-04-11T15:11:55.728Z
2017-04-29,3.1978,2026-04-11T15:11:55.728Z
2017-04-30,3.1978,2026-04-11T15:11:55.728Z
2017-05-01,3.1978,2026-04-11T15:11:55.728Z
2017-05-02,3.1718,2026-04-11T15:11:55.728Z
2017-05-03,3.1483,2026-04-11T15:11:55.728Z
2017-05-04,3.1774,2026-04-11T15:11:55.728Z
2017-05-05,3.1758,2026-04-11T15:11:55.728Z
2017-05-06,3.1758,2026-04-11T15:11:55.728Z
2017-05-07,3.1758,2026-04-11T15:11:55.728Z
2017-05-08,3.1932,2026-04-11T15:11:55.728Z
2017-05-09,3.1851,2026-04-11T15:11:55.728Z
2017-05-10,3.16,2026-04-11T15:11:55.728Z
2017-05-11,3.1553,2026-04-11T15:11:55.728Z
2017-05-12,3.1284,2026-04-11T15:11:55.728Z
2017-05-13,3.1284,2026-04-11T15:11:55.728Z
2017-05-14,3.1284,2026-04-11T15:11:55.728Z
2017-05-15,3.1005,2026-04-11T15:11:55.728Z
2017-05-16,3.0918,2026-04-11T15:11:55.728Z
2017-05-17,3.107,2026-04-11T15:11:55.728Z
2017-05-18,3.3756,2026-04-11T15:11:55.728Z
2017-05-19,3.2872,2026-04-11T15:11:55.728Z
2017-05-20,3.2872,2026-04-11T15:11:55.728Z
2017-05-21,3.2872,2026-04-11T15:11:55.728Z
2017-05-22,3.2857,2026-04-11T15:11:55.728Z
2017-05-23,3.2648,2026-04-11T15:11:55.728Z
2017-05-24,3.2623,2026-04-11T15:11:55.728Z
2017-05-25,3.2818,2026-04-11T15:11:55.728Z
2017-05-26,3.2608,2026-04-11T15:11:55.728Z
2017-05-27,3.2608,2026-04-11T15:11:55.728Z
2017-05-28,3.2608,2026-04-11T15:11:55.728Z
2017-05-29,3.2703,2026-04-11T15:11:55.728Z
2017-05-30,3.2653,2026-04-11T15:11:55.728Z
2017-05-31,3.2431,2026-04-11T15:11:55.728Z
2017-06-01,3.2301,2026-04-11T15:11:55.728Z
2017-06-02,3.2395,2026-04-11T15:11:55.728Z
2017-06-03,3.2395,2026-04-11T15:11:55.728Z
2017-06-04,3.2395,2026-04-11T15:11:55.728Z
2017-06-05,3.2814,2026-04-11T15:11:55.728Z
2017-06-06,3.2811,2026-04-11T15:11:55.728Z
2017-06-07,3.2741,2026-04-11T15:11:55.728Z
2017-06-08,3.2832,2026-04-11T15:11:55.728Z
2017-06-09,3.2734,2026-04-11T15:11:55.728Z
2017-06-10,3.2734,2026-04-11T15:11:55.728Z
2017-06-11,3.2734,2026-04-11T15:11:55.728Z
2017-06-12,3.298,2026-04-11T15:11:55.728Z
2017-06-13,3.3202,2026-04-11T15:11:55.728Z
2017-06-14,3.283,2026-04-11T15:11:55.728Z
2017-06-15,3.283,2026-04-11T15:11:55.728Z
2017-06-16,3.2886,2026-04-11T15:11:55.728Z
2017-06-17,3.2886,2026-04-11T15:11:55.728Z
2017-06-18,3.2886,2026-04-11T15:11:55.728Z
2017-06-19,3.2969,2026-04-11T15:11:55.728Z
2017-06-20,3.3139,2026-04-11T15:11:55.728Z
2017-06-21,3.3241,2026-04-11T15:11:55.728Z
2017-06-22,3.3356,2026-04-11T15:11:55.728Z
2017-06-23,3.3336,2026-04-11T15:11:55.728Z
2017-06-24,3.3336,2026-04-11T15:11:55.728Z
2017-06-25,3.3336,2026-04-11T15:11:55.728Z
2017-06-26,3.3122,2026-04-11T15:11:55.728Z
2017-06-27,3.3166,2026-04-11T15:11:55.728Z
2017-06-28,3.3024,2026-04-11T15:11:55.728Z
2017-06-29,3.2946,2026-04-11T15:11:55.728Z
2017-06-30,3.3076,2026-04-11T15:11:55.728Z
2017-07-01,3.3076,2026-04-11T15:11:55.728Z
2017-07-02,3.3076,2026-04-11T15:11:55.728Z
2017-07-03,3.3009,2026-04-11T15:11:55.728Z
2017-07-04,3.3044,2026-04-11T15:11:55.728Z
2017-07-05,3.3187,2026-04-11T15:11:55.728Z
2017-07-06,3.3058,2026-04-11T15:11:55.728Z
2017-07-07,3.2889,2026-04-11T15:11:55.728Z
2017-07-08,3.2889,2026-04-11T15:11:55.728Z
2017-07-09,3.2889,2026-04-11T15:11:55.728Z
2017-07-10,3.2644,2026-04-11T15:11:55.728Z
2017-07-11,3.2516,2026-04-11T15:11:55.728Z
2017-07-12,3.2258,2026-04-11T15:11:55.728Z
2017-07-13,3.2102,2026-04-11T15:11:55.728Z
2017-07-14,3.1893,2026-04-11T15:11:55.728Z
2017-07-15,3.1893,2026-04-11T15:11:55.728Z
2017-07-16,3.1893,2026-04-11T15:11:55.728Z
2017-07-17,3.1815,2026-04-11T15:11:55.728Z
2017-07-18,3.1662,2026-04-11T15:11:55.728Z
2017-07-19,3.1527,2026-04-11T15:11:55.728Z
2017-07-20,3.1396,2026-04-11T15:11:55.728Z
2017-07-21,3.125,2026-04-11T15:11:55.728Z
